"web_scraper_order","web_scraper_start_url","title","lieu","type","asso","date_mission","dispo"
"1615904302-2340","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=235&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagnant à la réinsertion professionnelle","Lieu : NICE 06200 (06200)","Type :  Aide à l'insertion / Parrainages","Association :  Habitat et Humanisme - Alpes Maritimes","Date : Tout le temps","Disponibilité demandée :  4 jours par mois"
"1615904026-1156","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=333&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagner des enfants en traitement dans le 13ème arrondissement","Lieu : PARIS 13 (75013)","Type :  Aide au déplacement","Association :  Association de santé mentale du 13è arrondissement","Date : Tout le temps","Disponibilité demandée :  Au minimum 2 heures par semaine et plus si affinités"
"1615905039-4895","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=22&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Téléthon - Responsable d’équipe bénévole (Département 68 - Nord)","Lieu : HAUT-RHIN (68)","Type :  Responsable associatif. Coordinateur d'équipe","Association :  AFM - Coordination Téléthon - Haut-Rhin (Nord)","Date : Tout le temps","Disponibilité demandée :  Equivalent d'au moins 2 journées par semaine, selon les périodes de l'année"
"1615904203-1876","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=273&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Chercher des logements à acheter  pour des personnes exclues","Lieu : ST OUEN (93400)","Type :  Recherche de fonds, de partenaires","Association :  Solidarités Nouvelles pour le Logement - Union","Date : Tout le temps","Disponibilité demandée :  Réunion de Groupe Local de Solidarité une fois par mois. Puis en fonction des envies, possibilités et besoins."
"1615903909-703","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=371&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Support Formation - Antenne Paris","Lieu : PARIS (75001)","Type :  Enseignement. Formation.","Association :  Fondation Claude Pompidou","Date : Tout le temps","Disponibilité demandée :  Réunions variables selon l’action. Démarches sur le terrain, 1 an d'engagement minimum."
"1615904641-3668","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=124&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Bibliothèque de rue","Lieu : GRENOBLE (38000)","Type :  Animation culturelle","Association :  ATD Quart-Monde Grenoble","Date : Tout le temps","Disponibilité demandée :  1h30 par semaine"
"1615904106-1514","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=303&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Animations en collèges et lycées sur l'entreprise et la recherche de stages - Hauts-de-Seine","Lieu : HAUTS-DE-SEINE (92)","Type :  Enseignement. Formation.","Association :  Ecole et Vie Locale","Date : Tout le temps","Disponibilité demandée :  - Au moins 2 demi-journées ouvrables par mois."
"1615904132-1599","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=296&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Chargé(e) des partenariats - ACF Var","Lieu : VAR (83)","Type :  Recherche de fonds, de partenaires","Association :  Action contre la faim - Délégation du Var","Date : Tout le temps","Disponibilité demandée :  1 demi-journée par semaine"
"1615903999-1074","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=340&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Collecte ponctuelle pour la Fondation Raoul Follereau","Lieu : ANGERS (49000)","Type :  Collecte (argent, aliments...)","Association :  Fondation Raoul Follereau - Région Ouest","Date : Tout le temps","Disponibilité demandée :  selon votre disponibilité"
"1615904334-2445","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=226&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Psychologue","Lieu : ROISSY EN BRIE (77680)","Type :  Ecoute","Association :  My Harmony","Date : Tout le temps","Disponibilité demandée :  5 heures semaines"
"1615905046-4930","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=19&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Chauffeur/Accompagnateur","Lieu : CAEN (14000)","Type :  Aide au déplacement","Association :  AFM-Téléthon -  Association Française contre les Myopathies - Service d'appui aux délégations","Date : du 12/03/2021 au 31/12/2021","Disponibilité demandée :  A définir avec l'équipe départementale"
"1615903965-938","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=351&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Equipe mobile Fraternibus","Lieu : DORDOGNE (24)","Type :  Ecoute","Association :  Secours catholique - Délégation PERIGORD AGENAIS","Date : Tout le temps","Disponibilité demandée :  1 demi-journée par semaine"
"1615904444-2832","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=194&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagner un jeune 2h / semaine","Lieu : LYON 69007 (69007)","Type :  Accompagnement scolaire","Association :  Association de la Fondation Etudiante pour la Ville - Pole Grand Lyon","Date : Tout le temps","Disponibilité demandée :  2 heures par semaine"
"1615905034-4873","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=23&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Animateur de secteur géographique","Lieu : HERAULT (34)","Type :  Responsable associatif. Coordinateur d'équipe","Association :  AFM - Coordination Téléthon - Hérault (Est)","Date : Tout le temps","Disponibilité demandée :  Une journée par semaine"
"1615904097-1473","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=307&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Maintenance Informatique","Lieu : SEINE-ET-MARNE (77)","Type :  Informatique. Web","Association :  Secours Catholique - Seine-et-Marne","Date : Tout le temps","Disponibilité demandée :  Quelques demi-journée par mois"
"1615904893-4517","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=53&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Responsable administratif et financier (Département 62 - Sud)","Lieu : PAS-DE-CALAIS (62)","Type :  Gestion financière et comptable","Association :  AFM - Coordination Téléthon - Pas-de-Calais (Sud)","Date : Tout le temps","Disponibilité demandée :  Environ deux demi-journées par semaine"
"1615903796-403","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=396&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Sensibiliser les parents à l'importance de la vue","Lieu : NANTERRE (92000)","Type :  Opération de sensibilisation","Association :  Helen Keller International Europe","Date : Tout le temps","Disponibilité demandée :  Régulière (entre 1h et 4 heures par semaine)"
"1615904713-3868","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=107&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Co-responsable local - Paris 18e","Lieu : PARIS 75018 (75018)","Type :  Responsable associatif. Coordinateur d'équipe","Association :  Entraide Scolaire Amicale - Section de Paris","Date : Tout le temps","Disponibilité demandée :  3 à 4 demi-journées par semaine"
"1615904161-1712","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=287&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagnement à la scolarité primaire","Lieu : NANTERRE (92000)","Type :  Accompagnement scolaire","Association :  Association MOSAIC (Mixité Ouverture Solidarité Action Innovation Culture)","Date : Tout le temps","Disponibilité demandée :  2 heures par semaine ou plus"
"1615903784-358","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=400&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Délégué / Coordinateur / lien pour la délégation 30","Lieu : GARD (30)","Type :  Responsable associatif. Coordinateur d'équipe","Association :  Fondation Raoul Follereau - Région Sud-Est","Date : Tout le temps","Disponibilité demandée :  Quelques heures par mois"
"1615904195-1839","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=276&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Ateliers d'initiation à l'Informatique","Lieu : AUBERVILLIERS (93300)","Type :  Enseignement. Formation.","Association :  Croix-Rouge Francaise - Unité locale de Bobigny-Aubervilliers-La Courneuveuve-Stains","Date : Tout le temps","Disponibilité demandée :  quelques heures par semaine"
"1615904076-1371","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=315&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Réparation de vélos pour le public - Vauréal","Lieu : VAUREAL (95490)","Type :  Travaux manuels","Association :  Générations Solidaires Val d'Oise","Date : Tout le temps","Disponibilité demandée :  - Quelques heures par semaine."
"1615904236-2032","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=260&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Soutien de centres de distribution alimentaire","Lieu : AUCH (32000)","Type :  Responsable associatif. Coordinateur d'équipe","Association :  Les Restaurants du Cœur - Gers","Date : Tout le temps","Disponibilité demandée :  1 à 2 jours par semaine"
"1615905088-5054","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=8&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Encadrement des cours de JUDO","Lieu : GRIGNY (91350)","Type :  Animation sportive","Association :  Judo Club Grigny","Date : Tout le temps","Disponibilité demandée :  Vacances pour les stages multi sports"
"1615904814-4323","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=69&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Aide à la rénovation du Théâtre","Lieu : AVIGNON (84000)","Type :  Travaux manuels","Association :  INFOTOURNÉE ","Date : du 01/03/2021 au 31/03/2021","Disponibilité demandée :  Journée ou demie journée"
"1615904343-2476","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=223&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Chargé(e) de recrutement","Lieu : Partout en France ","Type :  Responsable associatif. Coordinateur d'équipe","Association :  Self-Défense Kishintaï-Jutsu SCO Ste Marguerite","Date : Tout le temps","Disponibilité demandée :  5h/semaine"
"1615904203-1884","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=273&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Mission Urgente !","Lieu : ST OUEN (93400)","Type :  Distribution d'aliments, vêtements...","Association :  Armée du Salut","Date : Tout le temps","Disponibilité demandée :  Le bénévole peut s’engager sur une ou plusieurs matinées par semaine ou par mois."
"1615904339-2468","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=224&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Organisateur.ice volontaire d’un Cours de Design en Permaculture Low-tech & Réfugiés - Marseille","Lieu : Marseille (toute la ville) (13000)","Type :  Enseignement. Formation.","Association :  EKO!","Date : Tout le temps","Disponibilité demandée :  A déterminer"
"1615904047-1253","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=325&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Parrainage vers l'emploi","Lieu : HAUTE-SAVOIE (74)","Type :  Aide à l'insertion / Parrainages","Association :  LADAPT Auvergne Rhône Alpes","Date : Tout le temps","Disponibilité demandée :  2 demi-journées par mois ou plus"
"1615904192-1834","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=277&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagnement des personnes exilées","Lieu : PARIS 75017 (75017)","Type :  Accueil, Information","Association :  Dom'Asile","Date : Tout le temps","Disponibilité demandée :  une demie-journée par semaine, du lundi au samedi"
"1615904102-1498","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=305&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagner des entrepreneurs - Rennes Métropole","Lieu : RENNES (35000)","Type :  Aide à l'insertion / Parrainages","Association :  Association pour le Droit à  l'Initiative Economique","Date : Tout le temps","Disponibilité demandée :  1 à 2 journée par semaine"
"1615903914-723","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=369&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Activités d'action sociale","Lieu : SEINE-SAINT-DENIS (93)","Type :  Distribution d'aliments, vêtements...","Association :  Croix-Rouge francaise, Délégation de la Seine-Saint-Denis","Date : Tout le temps","Disponibilité demandée :  Selon vos possibilités : nos activités peuvent être en journée, soirée, week-end"
"1615904064-1313","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=320&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Visite et accompagnement de personnes âgées à domicile","Lieu : PANTIN (93500)","Type :  Visite à domicile","Association :  Petits Frères des Pauvres - Banlieues Île-de-France","Date : Tout le temps","Disponibilité demandée :  1h par semaine"
"1615904064-1312","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=320&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Visites à domicile de personnes âgées isolées (Petits Frères des Pauvres - Fontenay-sous-Bois)","Lieu : FONTENAY SOUS BOIS (94120)","Type :  Visite à domicile","Association :  Petits Frères des Pauvres - Banlieues Île-de-France","Date : Tout le temps","Disponibilité demandée :  Quelques heures"
"1615904403-2662","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=208&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Adjoint Référent départ en Vacances","Lieu : MONDEVILLE (14120)","Type :  Autres actions","Association :  Les Restaurants du Cœur - Calvados","Date : Tout le temps","Disponibilité demandée :  2 demi journées par semaine"
"1615904403-2657","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=208&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Psychologue","Lieu : CLERMONT FERRAND (63000)","Type :  Secourisme. Santé. Soins","Association :  SOS GLOBI AUVERGNE","Date : Tout le temps","Disponibilité demandée :  4 heures par mois"
"1615903796-404","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=396&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Sensibiliser les élèves à l'importance de la vue","Lieu : NANTERRE (92000)","Type :  Opération de sensibilisation","Association :  Helen Keller International Europe","Date : Tout le temps","Disponibilité demandée :  Régulière (entre 1h et 4 heures par semaine)"
"1615904185-1799","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=280&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Moderniser le fichier du Club de football","Lieu : PARIS 75018 (75018)","Type :  Gestion administrative","Association :  Les Enfants de la Goutte D'Or","Date : Tout le temps","Disponibilité demandée :  4 demi-journées"
"1615905064-4990","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=14&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Maintenance informatique pour une ferme pédagogique - Montmagny","Lieu : MONTMAGNY (95360)","Type :  Informatique. Web","Association :  Les Fermes d'Espoir","Date : Tout le temps","Disponibilité demandée :  Quelques heures par semaine"
"1615904757-4089","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=89&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Chargé de financements publics. (Réf.02)","Lieu : Partout en France ","Type :  Gestion financière et comptable","Association :  Relais International de Généalogie Arménienne","Date : Tout le temps","Disponibilité demandée :  quelques heures par semaine"
"1615904757-4085","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=89&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Chargé(e) de partenariat","Lieu : Partout en France ","Type :  Communication","Association :  Relais International de Généalogie Arménienne","Date : Tout le temps","Disponibilité demandée :  minimum 7h/semaine"
"1615904422-2760","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=200&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Coordonner une action collective de soutien à des personnes sans papiers","Lieu : ASNIERES SUR SEINE (92600)","Type :  Conseil, Défense des droits","Association :  Secours Catholique - Hauts-de-Seine","Date : Tout le temps","Disponibilité demandée :  Idéalement tous les mercredi après-midi + 1 ou 2h chez soit de temps en temps"
"1615904419-2745","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=201&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Formateur : transmettez les clés d'une insertion réussie","Lieu : HAUTE-GARONNE (31)","Type :  Enseignement. Formation.","Association :  CAP JEUNESSE","Date : Tout le temps","Disponibilité demandée :  Variable"
"1615904365-2536","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=218&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagnez un jeune adulte dans son projet professionnel à Nantes","Lieu : NANTES 44300 (44300)","Type :  Aide à l'insertion / Parrainages","Association :  PROXITÉ","Date : Tout le temps","Disponibilité demandée :  2 à 4 heures par mois"
